Latitude referensi,Longitude referensi,Latitude modul,Longitude modul
-5.3741387, 105.2514740, -5.3741278,105.2514637
-5.3727958, 105.2522109, -5.3727553,105.2522518
-5.3732511, 105.2508500, -5.3732140,105.2508992
-5.3702449, 105.2497647, -5.3704840,105.2496747
-5.3729377, 105.2456338, -5.3728913,105.2455960
-5.3634703, 105.2455758, -5.3635015,105.2456365
-5.3657855, 105.2442934, -5.3656357,105.2443033
-5.3721512, 105.2500960, -5.3721640,105.2501050
-5.3732293, 105.2509812, -5.3733455,105.2507881
-5.3774152, 105.2495920, -5.3774559,105.2495967